[2017-11-02 : 10:54:54.551] [main] INFO  o.a.c.t.s.CamelTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener] 
[2017-11-02 : 10:54:54.585] [main] INFO  o.a.c.t.s.CamelTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@c8c12ac, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6adbc9d, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4550bb58, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4ec4f3a0, org.springframework.test.context.transaction.TransactionalTestExecutionListener@223191a6, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@49139829, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@9597028, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6069db50, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4efbca5a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1b7cc17c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@59662a0b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@77fbd92c] 
[2017-11-02 : 10:54:58.575] [s3mock-akka.actor.default-dispatcher-4] INFO  io.findify.s3mock.route.CreateBucket - PUT bucket tradingpartners-east.sandbox.aimsplatform.com 
[2017-11-02 : 10:54:58.809] [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [AphlS3ComponentTest-context.xml] 
[2017-11-02 : 10:54:59.747] [main] INFO  o.a.c.t.s.CamelSpringTestContextLoader - Disabling Camel JMX globally for tests by default.  Use the DisableJMX annotation to override the default setting. 
[2017-11-02 : 10:54:59.766] [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@6cd56321: startup date [Thu Nov 02 10:54:59 EDT 2017]; root of context hierarchy 
[2017-11-02 : 10:54:59.868] [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring 
[2017-11-02 : 10:55:00.462] [main] INFO  o.a.c.t.s.CamelSpringTestContextLoader - Setting shutdown timeout to [10 SECONDS] on CamelContext with name [camel]. 
[2017-11-02 : 10:55:00.466] [main] INFO  o.a.c.t.s.CamelSpringTestContextLoader - Starting CamelContext with name [camel]. 
[2017-11-02 : 10:55:00.466] [main] INFO  o.a.camel.spring.SpringCamelContext - Apache Camel 2.18.1.redhat-000012 (CamelContext: camel) is starting 
[2017-11-02 : 10:55:00.468] [main] INFO  o.a.c.m.DefaultManagementStrategy - JMX is disabled 
[2017-11-02 : 10:55:00.566] [main] INFO  o.a.c.i.c.DefaultTypeConverter - Loaded 211 type converters 
[2017-11-02 : 10:55:00.676] [main] INFO  o.a.camel.spring.SpringCamelContext - StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html 
[2017-11-02 : 10:55:00.690] [main] INFO  o.a.camel.spring.SpringCamelContext - Route: aphls3_test_route started and consuming from: direct://aphls3 
[2017-11-02 : 10:55:00.690] [main] INFO  o.a.camel.spring.SpringCamelContext - Total 1 routes, of which 1 are started. 
[2017-11-02 : 10:55:00.691] [main] INFO  o.a.camel.spring.SpringCamelContext - Apache Camel 2.18.1.redhat-000012 (CamelContext: camel) started in 0.224 seconds 
[2017-11-02 : 10:55:00.735] [main] WARN  c.a.services.s3.AmazonS3Client - No content length specified for stream data.  Stream contents will be buffered in memory and could result in out of memory errors. 
[2017-11-02 : 10:55:00.893] [s3mock-akka.actor.default-dispatcher-3] INFO  io.findify.s3mock.route.PutObject - put object tradingpartners-east.sandbox.aimsplatform.com/TRY (signed) 
[2017-11-02 : 10:55:01.308] [main] INFO  o.a.c.component.mock.MockEndpoint - Asserting: mock://foo is satisfied 
[2017-11-02 : 10:55:01.407] [s3mock-akka.actor.default-dispatcher-7] INFO  io.findify.s3mock.route.DeleteObject - deleted object tradingpartners-east.sandbox.aimsplatform.com/TRY 
